FILENAME,FILEENTRYID,COMPANYID,FOLDERID
Portaria nº 351 de 11_07_2017_Comitê Setorial de Gestão de Riscos da Subsecretaria de Logística em Saúde e dá outras providências.pdf,74792,35901,74514
Portaria nº 340_2016 – Critérios de pagamentos para pagamentos de despesas de exercícios anteriores.pdf,74799,35901,74514
Portaria nº 275 – 2006.pdf,74806,35901,74514
Portaria nº 271 – 2016 – Dispões sobre a atualização da plataforma do SICOP e dá outras providências.pdf,74817,35901,74514
Portaria nº 225_2017_Câmara Técnica de Discussão de Processos de Logística da SES-DF.pdf,74824,35901,74514
1. Protocolo de Oxigenoterapia Domiciliar.pdf,51950,35901,51932
3. Protocolo de uso da azatioprina na anemia hemolítica.pdf,51968,35901,51932
1. Protocolo de Urgências Odontológicas.pdf,51800,35901,51764
2. Protocolo de Cirurgia Oral Menor.pdf,51811,35901,51764
6. Protocolo de Estomatologia.pdf,52288,35901,52011
8. Protocolo de Prevenção da Deterioração Clínica em Pacientes Adultos em Serviço Hospitalar.pdf,52310,35901,52011
9.4. Fluxograma Corrimento Vaginal.pdf,52470,35901,52011
9.6. Fluxograma Síndrome Pré-Menstrual SPM.pdf,52492,35901,52011
9.15. ANEXO XV Siglas e Abreviaturas.pdf,52592,35901,52011
Lei nº 6060_2017 – Estima a receita e fixa a despesa do Distrito Federal para o exercício financeiro de 2018.pdf,61141,35901,60712
Lei nº 6060-2017- Estima a receita e fixa a despesa do DF para o exercicio de 2018.pdf,61152,35901,60712
Lei Orgânica do DF – Organiza os Poderes do Distrito Federal estabelece suas competências.pdf,61159,35901,60712
"Atendimento de usuários com indicação de uso de Cateter Hidrofílico, na Secretaria de Estado da Saúde do Distrito Federal.pdf",64290,35901,64117
Nota Técnica de Abordagens imprescindíveis em Cuidados Paliativos em Situação de Pandemia por COVID-19.pdf,64297,35901,64117
Nota Técnica – SES-SVS-DIVISA-GESES – Estabelece critérios para normatização e padronização do funcionamento dos estabelecimentos que oferecem serviços de vacinação humana extramuros e em domicílio no Distrito Federal.pdf,64350,35901,64117
Nota Técnica N.º 2-2021 – SES-SAIS-COASIS-DIENF-CATCP – Critérios de encaminhamento de usuários para os ambulatórios de Enfermagem em lesões complexas na Secretaria de Estado de Saúde do Distrito Federal.pdf,64357,35901,64117
Lei Complementar 928 -2017 – Dispõe sobre horário especial para servidor público do DF.pdf,60934,35901,60712
Lei Complementar nº 11 – 1996 – Cria o Fundo de Saúde do Distrito Federal e dá outras providências.pdf,60945,35901,60712
Lei Complementar nº 11_1996 – Cria o Fundo de Saúde do Distrito Federal e dá outras providências.pdf,60956,35901,60712
Protocolos de Regulação Médica de Urgência do SAMU- DF 192 e Critérios Médicos de Despacho de Viaturas. (Regulação de Emergência Pediátricas).pdf,69022,35901,64158
Nota Técnica – Eletroencefalograma (EEG).pdf,68878,35901,64155
Nota técnica de encaminhamento à Nutrição na Atenção Secundária.pdf,69077,35901,64161
Nota Técnica sobre a prescrição das fórmulas nutricionais do Programa de Terapia Nutricional Enteral Domiciliar (PTNED).pdf,69088,35901,64161
Nota técnica 21-2021.pdf,68686,35901,64152
Nota Técnica 03-2020.pdf,68708,35901,64152
Nota Técnica - Coronavirús II.pdf,68719,35901,64152
Revisão dos Critérios de admissão para Internação de Pacientes em Unidades de Terapia Intensiva (UTI) e em Unidades de Cuidados Intermediários (UCI) na Rede de Saúde SES-DF.pdf,69124,35901,64164
Nota Técnica Nº 3-2020.pdf,69223,35901,63735
Nota Técnica SES-SAIS-CATES-DUAEC-GESCIR - Utilização dos medicamentos MORFINA SOLUÇÃO INJETÁVEL.pdf,69246,35901,63735
Nota Técnica N° 04-2020.pdf,69230,35901,63735
Portaria nº 77 de 14 de fevereiro de 2017.pdf,70090,35901,69556
Portaria nº 3.124 GM_MS…redefine os parâmetros de vinculação dos Núcleos de Apoio à Saúde de Família_NASF.pdf,70098,35901,69556
Notas Técnicas Atenção Primária.pdf,69253,35901,63735
Nota Técnica – Liberação de Curativos APS 2020.pdf,69205,35901,63735
"Portaria nº 204_2016 – Define a Lista Nacional de Notificação Compulsória de doenças, agravos e eventos de saúde pública nos serviços de saúde públicos e privados.pdf",74831,35901,74514
Portaria nº 170-2018 – Regulamento das Execuções das Contratações da SES.pdf,74838,35901,74514
Portaria nº 170_2018 – Regulamento das Execuções das Contratações da SES.pdf,74845,35901,74514
Portaria nº 148 de 11_08_2016_Criação da Câmara Técnica Distrital de Transplante de Fígado.pdf,74916,35901,74514
Portaria nº 147 de 11_08_2016_Criação da Câmara Técnica Distrital de Transplante de Cornea.pdf,74935,35901,74514
Portaria nº 146 de 11_08_2016_Criação da Câmara Técnica Distrital de Transplante de Rim.pdf,74954,35901,74514
Portaria nº 145 de 11_08_2016_Criação da Câmara Técnica Distrital de Transplante de Coração.pdf,74965,35901,74514
Portaria nº 144 de 11_08_2016_Criação da Câmara Técnica Distrital de Doação e Capatação de Orgãos.pdf,74976,35901,74514
Portaria nº 140_2016 – Regulamenta as atividades da vigilância epidemiológica.pdf,74987,35901,74514
Portaria nº 135_16_Classificacao Economica da Despesa.pdf,75008,35901,74514
Portaria nº 135 – 2016 – Classificação Econômica da Despesa.pdf,75019,35901,74514
Portaria nº 118 – 2016 – Normas e orientações internas para a utilização do SEI-GDF.pdf,75030,35901,74514
Portaria nº 37 de 13_03_2015_Regulamento Técnico relativo ao funcionamento da Organizações de Procura de Orgãos e Te.pdf,75037,35901,74514
Portaria nº 32 – 1996 – Regulamenta Decreto 17.616 – 1996.pdf,75044,35901,74514
Portaria Conjunta SEC e SGA N 18 – 2006 – Procedimentos para o recolhimento de documentos arquivísticos dos órgãos da ADM direta e indireta.pdf,75070,35901,74514
Portaria SES n.º 199-2014 – Dispõe sobre horários de funcionamento e escalas de serviços das Unidades Orgânicas da SES.pdf,75192,35901,75128
Portaria SES n.º 48-2005-Regulamenta os procedimentos administrativos referentes ao tratamento fora do domicílio.pdf,75204,35901,75128
Portaria SES n.º 708-2018 – Atribui competências ao Chefe de Gabinete da Secretaria de Estado de Saúde.pdf,75502,35901,75415
Cartilha da Lei de Acesso à Informação - página 7.png,53852,35901,47644
Complexo Regulador em Saúde do Distrito Federal.pdf,53994,35901,53930
SINFRA – Subsecretaria de Infraestrutura em Saúde.pdf,54059,35901,54009
CHAMAMENTO PÚBLICO PARA LOCAÇÃO DE IMÓVEL Nº 012021-SESDF.pdf,53718,35901,53685
SULOG – Subsecretaria de Logística em Saúde.pdf,54081,35901,54009
Lei Distrital n.º 2.339-1999 – Cria Gratificação por Condições Especiais de Trabalho na SES-DF.pdf,60990,35901,60712
Lei Distrital n.º 3.320-2004 – Reestrutura a carreira Assistência Pública à Saúde do DF.pdf,61001,35901,60712
"Lei Distrital n.º 3.321-2004 -Reestrutura a carreira de Cirurgião-Dentista, do quadro de pessoal do DF.pdf",61012,35901,60712
Lei Distrital n.º 3.323-Reestrutura a carreira Médica do quadro de pessoal do DF.pdf,61034,35901,60712
Lei nº 5.602_2015_Plano Plurianual – 2016 – 2019.pdf,61100,35901,60712
LODF_1993_Organiza os Poderes do Distrito Federal estabelece suas competências e dá outras providências.pdf,61175,35901,60712
Lei Federal nº 10.836- 2004 – Cria o Programa Bolsa Família.pdf,61409,35901,60709
Lei Federal nº 12.871 – 2013 – Institui o Programa Mais Médicos.pdf,61420,35901,60709
"Lei nº 4.320-1964- Estatui normas Gerais de Direito Financeiro para elaboração dos orçamentos e balanços da União, dos Estados, dos municípios e DF.pdf",61435,35901,60709
Lei Complementar nº 11 de 12 de julho de 1996.pdf,61302,35901,60709
"Lei Complementar nº 101, de 04 de maio de 2000.pdf",61309,35901,60709
Lei Federal n.º 9.263-1996.pdf,61316,35901,60709
Lei nº 4.729-2011.pdf,61323,35901,60709
Lei nº 4.990-2012.pdf,61330,35901,60709
Emenda à Lei Orgânica 103_2017 – Dispõe sobre a valorização da vida.pdf,60901,35901,60712
/4303729,60912,35901,60712
Lei Complementar nº 101 – 2000 – Lei de Responsabilidade Fiscal.pdf,62241,35901,61843
Lei Complementar nº 101_2000 – Lei de Responsabilidade Fiscal.pdf,62248,35901,61843
Lei nº 8.142-1990_Participação da comunidade na gestao do SUS.pdf,62255,35901,61843
Lei nº 9.836-1990_Acrescenta dispositivos à Lei n 8080_1990.pdf,62262,35901,61843
Nota Técnica DIASF.pdf,69216,35901,63735
Portaria n° 148 -2012- Ministério da Saúde – Funcionamento e habilitação do Serviço Hospitalar de Referência para atenção a pessoas com sofrimento ou transtorno mental.pdf,70124,35901,69556
Portaria n° 4.279-2010- Ministério da Saúde – Estabelece diretrizes para a organização da Rede de Atenção à Saúde no âmbito do SUS.pdf,70135,35901,69556
Portaria MS n° 953- 2012 – Atenção a pessoas com sofrimento ou transtorno mental incluindo aquelas com necessidades de saúde decorrentes do uso de álcool e outras drogas.pdf,70546,35901,69556
Portaria MS n° 857 de 22 de agosto de 2012_Habilitada tabela de incentivos e procedimentos dos Serviços Residenciais Terapêuticos – SRTs.pdf,70557,35901,69556
Portaria MS n° 123 de 25 de janeiro de 2012…critérios de cálculo do número máximo de Consultório de rua.pdf,70656,35901,69556
Portaria MS n° 122 de 25 de janeiro de 2011.pdf,70667,35901,69556
Portaria SES-DF nº 291-2017-Institui o Comitê Técnico da Planificação da Atenção à Saúde no Distrito Federal do Programa-Qualifica SUS_DF Brasília Saudável.pdf,69758,35901,69556
Portaria nº 490 de 12 de dezembro de 2008_Aplicação de Suprimentos de Fundos.pdf,70002,35901,69556
Portaria nº 482 de 1º de abril de 2014.pdf,70013,35901,69556
Portaria nº 305 de 10 de abril de 2014.pdf,70024,35901,69556
07. Protocolo de Uso de Clopidogrel.pdf,51647,35901,51535
09. Lista de Verificação para Partos Seguros.pdf,51673,35901,51535
04. Protocolo de Critérios de admissão e Alta em Unidades de Terapia Intensiva Neonatal e Unidades de Cuidados Intermediários Neonatais.pdf,51603,35901,51535
7. Linha de Cuidado à Pessoa com Fissura Labiopalatal no âmbito da SES-DF.pdf,51910,35901,51764
4. Protocolo de Periodontia.pdf,51833,35901,51764
6. Hemovigilância - Notificação de Reações Transfusionais.pdf,51855,35901,51764
2. Protocolo de Ortodontia.pdf,51961,35901,51932
9.9 Fluxograma Achados em Ultrassonografia Pélvica.pdf,52525,35901,52011
2. Protocolo de Câncer de Próstata.pdf,52242,35901,52011
02.  Protocolo de Segurança do Paciente - Cirurgia Segura.pdf,51585,35901,51535
7. Protocolo de Prótese Dentária.pdf,52299,35901,52011
9.10 Fluxograma Mastalgia.pdf,52536,35901,52011
Lei nº 10.424-2002_Altera a Lei n 8080_1990.pdf,62269,35901,61843
Lei nº 11.108-2005_Altera a Lei n 8080_1990.pdf,62276,35901,61843
ABNT NBR IEC 60601-1-2.2017 de 04 de dezembro de 2017_Segurança básica e desempenho essencial de equipamentos eletromédicos e sistemas eletromédicos.pdf,62533,35901,62415
Guia de Territorialização e Diagnóstico de Área da APS no DF (2019).pdf,62540,35901,62415
Inmetro SI – Sistema Internacional de Unidades.pdf,62551,35901,62415
Manual de Teletrabalho – Anexo I e II.pdf,62581,35901,62415
Manual Assistência Farmacêutica.pdf,62592,35901,62415
Manual de Gestão de Processos da Secretaria de Saúde do Distrito Federal.pdf,62604,35901,62415
Manual de normas e procedimentos administrativos 2006.pdf,62619,35901,62415
"Norma CNEN NN 3.05, dezembro de 2013_Requisitos de segurança e proteção radiológica para serviços de medicina nuclear.pdf",62681,35901,62415
ABNT NBR 5410.2004 Versão Corrigida – 2008 de 30 de setembro de 2004_instalações elétricas de baixa tensão..pdf,62522,35901,62415
Norma CNEN NN 3.01 março de 2014_Diretrizes Básicas de Proteção Radiológica.pdf,62672,35901,62415
Norma CNEN NN 6.10_Requisitos de Proteção Radiológica e Segurança para Serviços de Radioterapia.pdf,62688,35901,62415
Emenda Constitucional nº 29 de 13 de setembro de 2000_Financiamento das ações e serviços públicos de saúde.pdf,62185,35901,61843
"Portaria SES-DF nº 78 de 14 de fevereiro de 2017…Regulamenta o art. 51 da Portaria nº 77, de 2017.pdf",69791,35901,69556
Portaria SES-DF nº 55 -2018- Estabelece normas e diretrizes referentes à organização da Atenção Domiciliar da SES-DFl.pdf,69802,35901,69556
Portaria SES-DF n.º 408-2017-Funcionamento e estrutura de serviços de Gerências de Emergência dos hospitais da Rede.pdf,69813,35901,69556
Portaria SES_DF nº 478-2017-Regulamenta o Programa de Terapia de Nutrição Enteral Domiciliar da SES-DF.pdf,69824,35901,69556
Portaria SES_DF nº 478_2017_Programa de Terapia de Nutrição Enteral Domiciliar.pdf,69835,35901,69556
"Portaria SES_DF nº 472- 2017-Dispõe sobre a vigilância do óbito materno, fetal.pdf",69846,35901,69556
Portaria SES_DF nº 408-2017-Disciplina o funcionamento e estrutura de serviços das.pdf,69858,35901,69556
Portaria SES_DF nº 386-2017-Organiza o Componente Hospitalar da Rede de Atenção.pdf,69869,35901,69556
PORTARIA SES nº 321-2017 – Designa a Autoridade de Monitoramento da Lei de Acesso à Informação no âmbito da SES.pdf,75308,35901,75280
PORTARIA SES nº 321-2017 – Designa a Autoridade de Monitoramento da Lei de Acesso à Informação no âmbito da SES.pdf,75247,35901,75234
Portaria 1227 de 05-11-2018.pdf,75572,35901,75554
"Portaria Conjunta 2-2018 – Estabelece ações conjuntas no âmbito da Casa Militar e da SES-DF, visando otimizar a utilização da aeronave para transplante de órgãos.pdf",75513,35901,75415
Portaria SES n.º 06-2018-Institui o Comitê Setorial de Gestão de Riscos da Subsecretaria de Infraestrutura em Saúde.pdf,75464,35901,75415
Portaria SES 780-2018-Altera a Portaria SES 764- 2018 que define a jornada de trabalho para os servidores e colaboradores envolvidos na Campanha de Vacinação Antirrábica do DF.pdf,75475,35901,75415
"Portaria SES 564-2018- Define critérios para implantação, implementação e monitoramento dos Protocolos de Acolhimento e Classificação de Risco da SES.pdf",75491,35901,75415
Portaria SES-DF nº 1417 de 26.12.18 – Estabelece o Regulamento dos Procedimentos Operacionais do Sis-Materiais.pdf,75670,35901,74511
Portaria 37 de 18.01.2019 – CGDF-SES – Estabelece critérios para análise prévia de contratos e de pagamentos pela Unidade de Controle Interno da SES.pdf,75681,35901,74511
"Portaria SEPLAG n.º 543-2018 – Regulamenta o procedimento de recadastramento anual dos servidores públicos ativos da Administração Direta, Autárquica e Fundacional do Distrito Federal.pdf",75659,35901,74511
Portaria MS nº 21_2018_Institui os prazos para o envio da produção da Atenção Básica para o Sistema de Informação em Saúde.pdf,76290,35901,75753
Portaria MS nº 3.992_17_Altera Blocos SUS.pdf,76301,35901,75753
Portaria MS nº 1.324_2014_Conceitos de diagnóstico utilizados no Programa de Apoio à Entrada de Dados das Autorizações de Internação Hospitalar.pdf,76411,35901,75753
Portaria MS nº 1.151_2013_Estabelece alterações no Sistema de Informações Hospitalares – SIH.pdf,76422,35901,75753
9.11. Fluxograma Descarga Papilar.pdf,52547,35901,52011
9.2. Fluxograma Sangramento Uterino Anormal.pdf,52448,35901,52011
6.C Anexo III – Formulário de visita pós-transfusional.pdf,51888,35901,51764
08. Lista de Verificação para Partos Seguros.pdf,51662,35901,51535
01. Protocolo de Uso de Anticoagulantes na SES-DF.pdf,51574,35901,51535
03.  Guia de Enfermagem na Atenção Psicossocial.pdf,51592,35901,51535
05.A. Guia de Enfermagem na Atenção ao Adolescente em Cumprimento de Medida Socioeducativa Volume I.pdf,51614,35901,51535
05.B. Guia de Enfermagem na Atenção ao Adolescente em Cumprimento de Medida Socioeducativa Volume II.pdf,51625,35901,51535
06. Protocolo de Uso da Cafeína na Apneia da Prematuridade.pdf,51636,35901,51535
10. Protocolo de Nutrição na Atenção Domiciliar.pdf,51684,35901,51535
11. Protocolo de Endodontia.pdf,51691,35901,51535
3. Protocolo de Disfunção Temperomandibular e Dor Orofacial.pdf,51822,35901,51764
6.B Anexo II – Formulário de reações transfusionais.pdf,51877,35901,51764
6.D Anexo IV – Glossario do Protocolo de Hemovigilancia_Notificação de Reações Transfusionais.pdf,51899,35901,51764
4. Protocolo de atendimento a Urgências e Emergências.pdf,51983,35901,51932
Cuidado em Saúde Mental na Atenção Primária em Saúde (APS) no contexto da pandemia e pós-pandemia  (COVID-19).pdf,62511,35901,62415
nota técnica - faixa2.png,63738,35901,60287
FLUXO DE ATENDIMENTO DO PROGRAMA DE OXIGENOTERAPIA DOMICILIAR (POD) DA SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL (SESDF).pdf,64269,35901,64117
Nota Técnica 6-2020 – SES-SAIS-CATES-DSINT-GESAD.pdf,64283,35901,64117
"Nota Técnica N.º 3-2020 – SES-SAIS-ARAS, que trata acerca da Triagem Neonatal Biológica – Teste do Pezinho no âmbito do Distrito Federal.pdf",64262,35901,64117
Orientações para os serviços de Odontologia - medidas de prevenção e controle que devem ser adotadas durante a assistência aos casos suspeitos ou confirmados de infecção pelo novo coronavírus (SARS-CoV- 2).pdf,64276,35901,64117
Lei Distrital n.º 3.322-2004- Reestrutura carreira de Enfermeiro do quadro de pessoal do DF.pdf,61023,35901,60712
Lei nº 5.602 – 2015 – Plano Plurianual – 2016 – 2019.pdf,61090,35901,60712
Lei 4.320-1964.pdf,61295,35901,60709
Lei nº 5.311-2014.pdf,61341,35901,60709
Lei nº 5.374-2014.pdf,61348,35901,60709
Lei nº 5.760-2016.pdf,61355,35901,60709
Portaria SES_DF nº 342-2017-Protocolos Clínicos e de Dispensação de Medicamentos elaborados pelas áreas técnicas de.pdf,69880,35901,69556
Portaria SES-DF nº 105-2014 -Aprova o Regimento Interno do Comitê Técnico de Saúde da População Negra.pdf,69780,35901,69556
Portaria SES_DF nº 201-2014-Regulamenta a coleta do quesito raçacoretnia nos formulários e sistemas de informação da SES.pdf,69891,35901,69556
Portaria SES_DF nº 116-2010 -Define as normas técnicas para fornecimento e controle de refeições e gêneros alimentícios no âmbito das Unidades Hospitalares da SES-DF.pdf,69902,35901,69556
Portaria SES_DF nº 77- 2017-Esstabelece a Política de Atenção Primária à Saúde do Distrito Federal.pdf,69913,35901,69556
Portaria SES_DF nº 51-2011- Fornecimento de Complementos Nutricionais para pacientes submetidos à cirurgia bariátrica vinculados ao Programa de Cirurgia Bariátrica do HRAN.pdf,69924,35901,69556
Portaria SAS nº 853 de 17 de novembro de 2006_Práticas Integrativas e Complementares na tabela do SCNES.pdf,69935,35901,69556
Portaria SAS nº 84 de 25 de março de 2009_Sistema de Cadastro Nacional de Estabelecimentos de Saude – SCNES.pdf,69946,35901,69556
Portaria NR nº 07_DGP de 27 de janeiro de 2009 – Normas Reguladoras do Exercício da Acupuntura no Âmbito do Serviço de Saúde do Exército.pdf,69958,35901,69556
Portaria nº 963 de 27 de maio de 2013.pdf,69969,35901,69556
Portaria nº 849 de 27 de março de 2017.pdf,69980,35901,69556
Portaria nº 633 de 28 de março de 2017.pdf,69991,35901,69556
Portaria nº 304 de 13 de novembro de 2013.pdf,70035,35901,69556
Portaria nº 1.602 de 31 de julho de 2014.pdf,70109,35901,69556
Portaria SES-DF nº 184-2014-Linha de Cuidado para Prevenção e Tratamento do sobrepeso e Obesidade.pdf,69769,35901,69556
Portaria MS nº 1.151 de 15 de outubro de 2013_Estabelece alterações no Sistema de Informações Hospitalares – SIH.pdf,76433,35901,75753
Resolução MS nº 32 de 14 de dezembro de 2017_Estabelece diretrizes para fortalecimento da Rede de Atenção Psicossocial.pdf,77245,35901,76749
Resolução MS nº 02 – 2013-Orientação para o processo de enfrentamento das desigualdades em saúde com foco na População em Situação de rua.pdf,77256,35901,76749
Resolução do Conselho de Saúde do Distrito Federal nº 465_2016.pdf,77267,35901,76749
"Resolução RDC nº320_2002_critérios mínimos para recebimento, armazenamento e distribuição de produtos farmacêuticos para empresas distribuidoras.pdf",76860,35901,76752
Resolução RDC nº302_2005_Dispõe sobre Regulamento Técnico para funcionamento de Laboratórios Clínicos.pdf,76869,35901,76752
Resolução RDC nº11_2014_Requisitos de Boas Práticas de Funcionamento para os Serviços de Diálise.pdf,76937,35901,76752
Resolução RDC nº 307_2002_Altera a Resolução – RDC nº 50 de 21 de fevereiro de 2002.pdf,76948,35901,76752
Resolução RDC nº 306_2004_Dispõe sobre o Regulamento Técnico para o gerenciamento de resíduos de serviços de saúde.pdf,76959,35901,76752
Resolução RDC nº 214 de 07 de fevereiro de 2018_Dispõe sobre as Boas Práticas em Células Humanas para Uso Terapêu.pdf,76966,35901,76752
"Resolução RDC nº 189_2001_altera o Regulamento Técnico aprovado pela RDC nº 50, de 21 de fevereiro de 2002.pdf",76977,35901,76752
Portaria MS nº 1.412_2013_Institui o Sistema de Informação em Saúde para a Atenção Básica – SISAB.pdf,76385,35901,75753
Portaria MS nº 1.412 de 10 de julho de 2013_Institui o Sistema de Informação em Saúde para a Atenção Básica – SISAB.pdf,76400,35901,75753
Portaria MS nº 1.011_2014_Estabelece formas de suporte dos laudos de autorização no Sistema de Informação Hospitalar – SIH.pdf,76444,35901,75753
9. Protocolo de Queixas Ginecológicas e Planejamento Reprodutivo com Inserção de DIU na AP.pdf,52321,35901,52011
9.5. Fluxograma Dor Pélvica.pdf,52481,35901,52011
9.8. Fluxograma Violência Sexual.pdf,52514,35901,52011
9.12. Fluxograma Perda Urinária.pdf,52558,35901,52011
9.13. Fluxograma Desejo de Concepção e Contracepção.pdf,52569,35901,52011
9.14. ANEXO XIV Termo e Ata.pdf,52576,35901,52011
Gabinete.pdf,53961,35901,53930
SUPLANS – Subsecretaria de Planejamento em Saúde.pdf,54092,35901,54009
1. Protocolo de Câncer de Mama.pdf,52233,35901,52011
9.1. Fluxograma Atraso Menstrual.pdf,52437,35901,52011
9.3. Fluxograma Lesões Anogenitais.pdf,52459,35901,52011
"Lei Distrita n.º 5.240-2013-Altera a Lei n.º 4.266, que dispõe sobre contratação por tempo determinado paraa tender necessidade expecional de interesse público.pdf",60967,35901,60712
Lei nº 6.060-2017.pdf,61362,35901,60709
Lei 12.845 -2013- Dispõe sobre o atendimento obrigatório e integral de pessoas em situação de violência sexual.pdf,61369,35901,60709
Lei Distrita n.º 5952-2017-Dispõe sobre o atendimento obrigatório e integral de pessoas em situação de violência sexual.pdf,61376,35901,60709
Lei Federal 5.889 – 1973 – Estatui Normas Reguladoras do Trabalho Rural.pdf,61383,35901,60709
Lei Federal n° 10.741-2003 – Dispõe sobre o Estatuto do Idoso.pdf,61390,35901,60709
"Lei Federal nº 9.263 -1996 – Regula o § 7º do art. 226 da Constituição Federal, que trata do Planejamento Familiar.pdf",61397,35901,60709
Lei nº 10.216- 2001-Proteção e direitos das pessoas portadoras de transtornos mentais e redireciona o modelo assistencial em saúde mental.pdf,61481,35901,60709
Lei nº 10.708 -2003 – Institui o auxílio-reabilitação psicossocial para pacientes acometidos de transtornos mentais egressos de internações.pdf,61500,35901,60709
Lei nº 8142-1990-Participação da comunidade na gestão do Sistema Único de Saúde.pdf,61517,35901,60709
Inmetro Vocabulário Internacional de Metrologia 2012.pdf,62566,35901,62415
"Reorganização do cuidado e do processo de trabalho dos Núcleos Ampliados de Saúde da Família (NASF), a partir das demandas do território, no contexto da pandemia por COVID-19.pdf",62504,35901,62415
Manual de Pericia Médica Oficial do GDF.pdf,62637,35901,62415
Manual do SEI.pdf,62655,35901,62415
"Norma CNEN NE 3.02, agosto de 1988_Estabelecer os requisitos relativos à implantação e ao funcionamento de Serviços de Radioproteção.pdf",62663,35901,62415
Portaria nº 142 de 28 de fevereiro de 2014.pdf,70046,35901,69556
Portaria MS n° 3588 de 21 de setembro de 2017_Altera as portarias de consolidação nº 3 e nº 6 de 28 de setembro de 2017 para a Rede de Atenção Psicossocial.pdf,70490,35901,69556
Portaria MS n° 615 de 15 de abril de 2013_Incentivo financeiro de investimento para construção de Centro de Atenção Psicossocial.pdf,70590,35901,69556
Portaria MS nº. 992 de 13 de maio de 2009.pdf,70291,35901,69556
Portaria MS nº. 793 de 24 de abril de 2012.pdf,70302,35901,69556
Portaria MS nº. 2.938 de 20 de dezembro de 2012.pdf,70324,35901,69556
Portaria MS nº 940 de 28 de abril de 2011.pdf,70357,35901,69556
Portaria MS nº 344 de 01 de fevereiro de 2017.pdf,70390,35901,69556
Portaria MS nº 48 de 17 de fevereiro de 1999.pdf,70401,35901,69556
Portaria MS nº 2.866 de 02 de dezembro de 2011.pdf,70412,35901,69556
Portaria MS nº 2.706 de 18 de outubro de 2017.pdf,70424,35901,69556
Portaria MS nº 2.632_GM de 15 de dezembro de 2004.pdf,70431,35901,69556
Portaria MS nº 2.528 de 19 de outubro de 2006.pdf,70442,35901,69556
Portaria MS nº 2.488 de 21 de outubro de 2011_Política Nacional de Atenção Básica.pdf,70449,35901,69556
Portaria MS nº 1.944 de 27 de agosto de 2009…Institui no âmbito do Sistema Único de Saúde.pdf,70464,35901,69556
"Portaria MS nº 1.032- 2010-Procedimento odontológico na Tabela de Procedimentos, Medicamentos, Órteses e Próteses e Materiais Especiais do SUS.pdf",70479,35901,69556
Portaria MS n° 3090 de 23 de dezembro de 2011_Serviços Residenciais Terapêuticos – SRT.pdf,70500,35901,69556
Portaria MS n° 3088 de 23 de dezembro de 2011_Rede de Atenção Psicossocial.pdf,70513,35901,69556
Portaria MS n° 349 de 29 de fevereiro de 2012_Altera e acresce dispositivo à Portaria nº 148 de 31.01.2012.pdf,70601,35901,69556
Portaria MS n° 336 de 19 de fevereiro de 2002_Estabelece as modalidades de CAPS e equipe mínima.pdf,70612,35901,69556
